# $b$ as a function of \dxmax for the geomagnetic function
# knots	coefficients
-2.000000000000000000e+02 1.479332377667259948e+02
-2.000000000000000000e+02 1.133870537652283019e+02
3.458405465701700336e+02 3.600877541004082616e+01
4.401269388144961567e+02 4.012825933940839462e+01
5.899075026337545751e+02 1.916741330784305433e+02
6.737432792040660843e+02 1.947284075231467284e+02
7.569436389867519210e+02 1.769184200501005648e+02
8.883792362829324247e+02 1.881419014375845222e+02
9.242295228499812083e+02 1.986950967791153460e+02
9.664580222575325479e+02 2.063660674513447475e+02
1.060453786734458163e+03 2.145928114882475484e+02
1.186023632071859765e+03 3.082926777601393269e+02
4.000000000000000000e+03 2.092147391350582382e+02
4.000000000000000000e+03 2.513052834947712313e+02
