# the deviation between $E_\mathrm{ce}$ and $E\'_\mathrm{ce}$ for an observation altitude of \SI{1564}{m asl}
# knots	coefficients
-2.000000000000000000e+02 1.172487413287779390e+00
-2.000000000000000000e+02 1.171595093487470374e+00
-1.878787878787878753e+02 1.170217605515545545e+00
-1.818181818181818130e+02 1.168324521684960260e+00
-1.757575757575757507e+02 1.166880059276085513e+00
-1.696969696969696884e+02 1.165413571823892047e+00
-1.636363636363636260e+02 1.163926867641643437e+00
-1.575757575757575637e+02 1.162421225237123767e+00
-1.515151515151515014e+02 1.160897586544298088e+00
-1.454545454545454390e+02 1.159356722610867196e+00
-1.393939393939393767e+02 1.157799355807186847e+00
-1.333333333333333144e+02 1.156226247467024848e+00
-1.272727272727272805e+02 1.154638255184088580e+00
-1.212121212121212182e+02 1.153036366176817484e+00
-1.151515151515151558e+02 1.151421712563367894e+00
-1.090909090909090935e+02 1.149795573854202502e+00
-1.030303030303030312e+02 1.148159370980984750e+00
-9.696969696969696884e+01 1.146514655123643589e+00
-9.090909090909090651e+01 1.144863093580954061e+00
-8.484848484848484418e+01 1.143206454071888922e+00
-7.878787878787878185e+01 1.141546588200653467e+00
-7.272727272727273373e+01 1.139885414372562522e+00
-6.666666666666665719e+01 1.138224900184428900e+00
-6.060606060606059486e+01 1.136567044191663767e+00
-5.454545454545456096e+01 1.134913856933648546e+00
-4.848484848484849863e+01 1.133267341143121110e+00
-4.242424242424243630e+01 1.131629471148139610e+00
-3.636363636363637397e+01 1.130002171577802361e+00
-3.030303030303031164e+01 1.128387295593126893e+00
-2.424242424242424931e+01 1.126786602973445017e+00
-1.818181818181818699e+01 1.125201738488871506e+00
-1.212121212121212466e+01 1.123634211074126421e+00
-6.060606060606062329e+00 1.122085374381328604e+00
0.000000000000000000e+00 1.120556409322729152e+00
6.060606060606062329e+00 1.119048309213356962e+00
1.212121212121212466e+01 1.117561868084357535e+00
1.818181818181818699e+01 1.116097672659300155e+00
2.424242424242424931e+01 1.114656098369983805e+00
3.030303030303031164e+01 1.113237309640779937e+00
3.636363636363637397e+01 1.111841264500121440e+00
4.242424242424243630e+01 1.110467723395761830e+00
4.848484848484847021e+01 1.109116261910082279e+00
5.454545454545453254e+01 1.107786286906208506e+00
6.060606060606062329e+01 1.106477055497257833e+00
6.666666666666668561e+01 1.105187696129389829e+00
7.272727272727274794e+01 1.103917231010728806e+00
7.878787878787881027e+01 1.102664599104778986e+00
8.484848484848487260e+01 1.101428678937068639e+00
9.090909090909087809e+01 1.100208310531874289e+00
9.696969696969694041e+01 1.099002315894103798e+00
1.030303030303030027e+02 1.097809517570011106e+00
1.090909090909090651e+02 1.096628754949336981e+00
1.151515151515151274e+02 1.095458898101049794e+00
1.212121212121211897e+02 1.094298859057205364e+00
1.272727272727272521e+02 1.093147600567313305e+00
1.333333333333333144e+02 1.092004142438123937e+00
1.393939393939393767e+02 1.090867565636460590e+00
1.454545454545454390e+02 1.089737014411253924e+00
1.515151515151515014e+02 1.088611696614972812e+00
1.575757575757575637e+02 1.087490882816060100e+00
1.636363636363636260e+02 1.086373903308490263e+00
1.696969696969696884e+02 1.085260147653586360e+00
1.757575757575757507e+02 1.084149050689647620e+00
1.818181818181818130e+02 1.083040126095796252e+00
1.878787878787878753e+02 1.081932820541329887e+00
1.939393939393939377e+02 1.080826852313917508e+00
2.000000000000000000e+02 1.079721735568130336e+00
2.060606060606060623e+02 1.078617136074543792e+00
2.121212121212121247e+02 1.077512713576461723e+00
2.181818181818181870e+02 1.076408158981431384e+00
2.242424242424242493e+02 1.075303179344283544e+00
2.303030303030303116e+02 1.074197498720552035e+00
2.363636363636363740e+02 1.073090849757280640e+00
2.424242424242424363e+02 1.071982988534573744e+00
2.484848484848484986e+02 1.070873625425283304e+00
2.545454545454545610e+02 1.069762299780225412e+00
2.606060606060606233e+02 1.068648622477260890e+00
