# $\sigma_\mathrm{ce}$ as a function of \dxmax for an observation altitude of \SI{0}{m asl}
# knots	coefficients
8.875206958393678747e+01 2.482444069014640320e+01
8.875206958393678747e+01 1.014325518104087998e+01
4.288606742881249829e+02 6.879070085347004238e+01
4.899900807865844286e+02 1.121964343897528522e+02
5.121763563416567422e+02 1.235357591851833519e+02
5.487252776317055805e+02 1.434565994982424968e+02
6.984084369028406627e+02 1.863008380947167382e+02
9.805230546330943753e+02 5.608604106417368484e+02
5.000000000000000000e+03 9.822151951104859791e+02
5.000000000000000000e+03 1.329277726689253768e+03
