# the deviation between $E_\mathrm{geo}$ and $E\'_\mathrm{geo}$ for an observation altitude of \SI{1564}{m asl}
# knots	coefficients
-2.000000000000000000e+02 4.095798941274507499e+00
-2.000000000000000000e+02 3.958144737982827621e+00
-1.878787878787878753e+02 3.788693108346418814e+00
-1.818181818181818130e+02 3.621828702236059794e+00
-1.757575757575757507e+02 3.523333968521093151e+00
-1.696969696969696884e+02 3.449301169818681956e+00
-1.636363636363636260e+02 3.398538125112902542e+00
-1.575757575757575637e+02 3.370047180552855348e+00
-1.515151515151515014e+02 3.366130875928236232e+00
-1.454545454545454390e+02 3.279582117618408788e+00
-1.393939393939393767e+02 3.247113913368146587e+00
-1.333333333333333144e+02 3.231040965228832551e+00
-1.272727272727272805e+02 3.241577592789030682e+00
-1.212121212121212182e+02 3.277118728501133837e+00
-1.151515151515151558e+02 3.340143599317481726e+00
-1.090909090909090935e+02 3.432870338116530196e+00
-1.030303030303030312e+02 3.558300466323484734e+00
-9.696969696969696884e+01 3.719723784163791791e+00
-9.090909090909090651e+01 3.920456928338318381e+00
-8.484848484848484418e+01 4.163264994609218839e+00
-7.878787878787878185e+01 4.449438373678296976e+00
-7.272727272727273373e+01 4.777746651421541202e+00
-6.666666666666665719e+01 5.142264388240785244e+00
-6.060606060606059486e+01 5.533266187209255449e+00
-5.454545454545456096e+01 5.936858950751612518e+00
-4.848484848484849863e+01 6.333541508065136050e+00
-4.242424242424243630e+01 6.699731256355035747e+00
-3.636363636363637397e+01 7.010324489436602136e+00
-3.030303030303031164e+01 7.242430648937778770e+00
-2.424242424242424931e+01 7.379247967315435197e+00
-1.818181818181818699e+01 7.412952592260389828e+00
-1.212121212121212466e+01 7.345688836375905417e+00
-6.060606060606062329e+00 7.188450911209146810e+00
0.000000000000000000e+00 6.958391225668749236e+00
6.060606060606062329e+00 6.675512511377783120e+00
1.212121212121212466e+01 6.359662067813529163e+00
1.818181818181818699e+01 6.028391520644171386e+00
2.424242424242424931e+01 5.695826183264106390e+00
3.030303030303031164e+01 5.372387957875168318e+00
3.636363636363637397e+01 5.065087576893027688e+00
4.242424242424243630e+01 4.778107066493054056e+00
4.848484848484847021e+01 4.513463434961947129e+00
5.454545454545453254e+01 4.271627719412194324e+00
6.060606060606062329e+01 4.052040510465245937e+00
6.666666666666668561e+01 3.853509427384814501e+00
7.272727272727274794e+01 3.674497539725079864e+00
7.878787878787881027e+01 3.513322399385313766e+00
8.484848484848487260e+01 3.368286033267971824e+00
9.090909090909087809e+01 3.237755005186054635e+00
9.696969696969694041e+01 3.120206125651153517e+00
1.030303030303030027e+02 3.014246790537124632e+00
1.090909090909090651e+02 2.918627967598392825e+00
1.151515151515151274e+02 2.832227084972778641e+00
1.212121212121211897e+02 2.754061095202976706e+00
1.272727272727272521e+02 2.683260173360319634e+00
1.333333333333333144e+02 2.619063314213506022e+00
1.393939393939393767e+02 2.560805109838696136e+00
1.454545454545454390e+02 2.507905420962698084e+00
1.515151515151515014e+02 2.459859271607188091e+00
1.575757575757575637e+02 2.416227903227971208e+00
1.636363636363636260e+02 2.376630805387539347e+00
1.696969696969696884e+02 2.340738749800001184e+00
1.757575757575757507e+02 2.308267748548276099e+00
1.818181818181818130e+02 2.278973863078417761e+00
1.878787878787878753e+02 2.252648777342419972e+00
1.939393939393939377e+02 2.229116069072314854e+00
2.000000000000000000e+02 2.208228058997322663e+00
2.060606060606060623e+02 2.189863352589655143e+00
2.121212121212121247e+02 2.173924355223264104e+00
2.181818181818181870e+02 2.160337198717821927e+00
2.242424242424242493e+02 2.149044781760961254e+00
