# $R_\mathrm{geo}$ as a function of \dxmax for an observation altitude of \SI{1564}{m asl}
# knots	coefficients
-2.000000000000000000e+02 -2.117431162818150625e+01
-2.000000000000000000e+02 -1.752465088057238063e+01
-7.000000000000000000e+01 -3.130574445361472868e+01
2.384095637000000067e+02 -4.778306554790260918e+01
2.900000000000000000e+02 -1.262056191026419754e+02
3.326232239099999788e+02 -1.197415883157042771e+02
3.610699003700000276e+02 -3.270084646572873766e+01
4.543601654500000109e+02 -1.522801058996113177e+01
5.091926122200000009e+02 3.581179843353100267e+01
5.553198377999999593e+02 8.276459400221467888e+01
6.855806236500000068e+02 1.084002766045316832e+02
9.100000000000000000e+02 1.385802796953147151e+02
1.010000000000000000e+03 2.456563613025157053e+02
2.500000000000000000e+03 3.059949598918093443e+02
2.500000000000000000e+03 3.582266348303789982e+02
