# $r_\mathrm{cut}$ as a function of \dxmax for the geomagnetic function
# knots	coefficients
-6.000000000000000000e+02 1.454744968879512435e+00
-6.000000000000000000e+02 -7.324733610312450516e+00
3.422609167233106859e+02 6.099379269779297452e+00
4.335948709462936108e+02 -2.568366626354747773e+00
5.088526578200833228e+02 2.655870844114952689e+01
5.224419194979913073e+02 2.619920334747885704e+02
5.538308643936976523e+02 2.248657633183904068e+02
5.884598830777875946e+02 1.738752786638051191e+02
6.737432792040660843e+02 1.744603467532176637e+02
7.596627445733637387e+02 2.107814696155570289e+02
8.888567679767620575e+02 2.437667853773163813e+02
9.683216527042288817e+02 2.937667134702692806e+02
1.061919778534246689e+03 3.539084380181239453e+02
1.204371296845117740e+03 1.362781099532041480e+03
6.000000000000000000e+03 1.954032560061525373e+03
6.000000000000000000e+03 2.940662210856799447e+03
